State,InterstateIn_ktons,Within_ktons,InterstateOut_ktons,InterstateIn_Mdollars,Within__MDollars,InterstateOut_MDollars
Alabama,146719.3229,193622.3519,148010.4621,167540.6533,112310.8662,158863.6498
Alaska,2251.0697,51174.2675,23962.0309,26470.517,26878.7554,27770.7585
Arizona,65546.6853,135687.5727,36692.8035,135877.8837,98035.2842,99587.4111
Arkansas,91981.5193,144982.2389,79522.3906,96982.4052,68903.6392,75772.0338
California,229929.9512,1068177.316,141507.6007,601187.4044,1336300.521,758336.6238
Colorado,86669.1749,219291.1051,102056.0487,118104.1264,95730.3564,101660.6985
Connecticut,43142.4488,70573.2513,46035.702,105761.1215,68247.293,134755.1321
Delaware,25812.182,37734.6085,13489.3856,38572.0229,17602.0222,31943.6192
District of Columbia,3832.5976,2372.5762,4325.1855,17453.9317,2931.3793,9909.1875
Florida,134580.8963,595949.1487,55787.0823,313862.0699,382255.7488,186420.8129
Georgia,166453.7574,275735.5035,125545.1991,304770.4525,245495.3856,313590.6755
Hawaii,3325.9224,41469.6031,1992.9489,21923.4281,24220.4068,1917.1564
Idaho,26979.4643,64239.7656,47215.8616,41209.9164,24000.3586,32448.5174
Illinois,424458.6383,561551.1973,312994.8745,480046.4172,399171.3316,599609.0083
Indiana,234916.1258,264324.3245,188950.4813,300536.8703,151846.9292,301823.6813
Iowa,132349.9252,288281.1292,172080.2183,130147.7021,93368.6991,145138.9647
Kansas,129176.219,183789.4848,149818.8051,122231.3763,93176.0901,141258.7956
Kentucky,142035.6777,174969.0381,166942.8941,236762.4272,108452.886,251036.8339
Louisiana,284536.8648,511038.7321,285672.1465,179761.9408,203750.8961,167423.3155
Maine,12640.7967,47920.8478,24633.2234,30089.0335,21513.4512,32013.0408
Maryland,89231.4284,106152.1846,60077.3872,153753.6835,89105.9674,134155.0609
Massachusetts,63347.164,119830.0791,42359.989,179695.852,112070.5062,154082.4086
Michigan,217996.9055,258893.4159,160533.0318,405259.0869,285913.554,339841.5243
Minnesota,204249.3136,253789.2085,207569.6082,175776.5692,126189.2936,194163.4786
Mississippi,169593.094,141831.5834,132511.6238,114187.0742,61864.4957,123323.8038
Missouri,172236.2592,176829.5885,122786.5533,193226.6072,115708.9433,166792.5899
Montana,23716.1257,48347.8322,82744.0785,33976.2616,19330.9112,24525.1656
Nebraska,109837.864,171599.5562,117745.6031,86065.2096,58788.583,83096.0626
Nevada,42684.2793,46723.9457,29747.6677,79450.6861,21639.7138,62436.4798
New Hampshire,31528.5715,23828.4202,13254.4635,54700.1457,13586.6376,31623.5738
New Jersey,165099.2788,211251.2359,133941.1834,290597.9211,203219.332,433226.8996
New Mexico,32803.3898,67376.5751,61366.3537,55607.7941,24054.2948,49718.7662
New York,183593.0473,351367.0062,124085.1466,510583.7085,387902.7487,388850.9315
North Carolina,129314.8585,222161.14,91531.305,240412.9053,162822.0455,273497.3308
North Dakota,52543.8148,128530.9886,286196.2037,59864.4206,40232.018,96767.8222
Ohio,264950.569,372186.595,225404.3429,407182.9035,253795.5777,399452.2452
Oklahoma,107588.2041,207355.0286,163856.9167,120140.9734,86050.2954,109542.88
Oregon,65924.4655,122307.5804,53569.8927,109672.5312,63720.5052,106521.5483
Pennsylvania,217435.1701,402712.4557,278882.9812,398019.3501,278751.2989,403190.9964
Rhode Island,12191.944,21837.6757,19016.2936,26454.7622,18546.7819,33000.1229
South Carolina,99974.445,113902.5657,70099.1648,158539.8615,93154.5241,152490.6421
South Dakota,33943.8339,77538.611,49327.1749,29751.6535,23439.1462,29339.2726
Tennessee,137271.8216,145506.5545,126559.9783,300746.7763,113910.2626,296832.6676
Texas,462933.2655,2172887.612,425421.1221,654086.7877,1561968.68,708660.6331
Utah,48412.3906,69977.5722,56559.5768,98279.5996,50116.3257,80710.8581
Vermont,12062.3026,19341.028,9811.0451,18972.9942,10679.3391,24430.1282
Virginia,136310.2849,187186.1698,80031.1919,206635.416,144833.2632,160575.4697
Washington,97701.1962,268426.5003,68440.7671,181830.833,243323.762,174108.3485
West Virginia,73705.2027,68385.9818,137052.9588,59923.7793,18927.3315,52347.0089
Wisconsin,135667.0273,211018.3203,108344.2059,193303.747,131910.8431,206263.3013
Wyoming,44352.1685,76775.2303,359475.7695,26780.9352,18363.6468,27924.592
